Model,Dataset,Train_Size,Seed,Best_Epoch,Train_F1,Val_Loss,Val_Acc,Val_F1,Overfit_Gap,Test_Acc,Test_F1,Maj_Baseline_Acc,Rand_Baseline_F1
QNLP,synthetic,500,100,99,0.8893805309734514,0.11680355577962473,0.9,0.9122807017543859,-0.022900170780934537,1.0,1.0,0.53,0.5145631067961165
QNLP,sst2,250,42,86,0.983050847457627,0.6962326889485121,0.66,0.7384615384615384,0.24458930899608866,0.55,0.67,0.53,0.5145631067961165
QNLP,sst2,10,42,5,1.0,0.8568096652813256,0.46,0.5263157894736842,0.4736842105263158,0.61,0.72,0.61,0.5495495495495496
QNLP,synthetic,250,42,16,1.0,1.6037895562703853e-08,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
QNLP,synthetic,250,100,12,1.0,2.298224032415419e-08,1.0,1.0,0.0,1.0,1.0,0.55,0.4736842105263158
QNLP,sst2,500,100,7,0.798464491362764,0.9115625540172914,0.64,0.6666666666666666,0.13179782469609735,0.52,0.59,0.64,0.5614035087719298
QNLP,synthetic,50,42,47,0.8292682926829269,0.3066285452246666,0.88,0.90625,-0.0769817073170731,0.82,0.85,0.57,0.5327102803738318
QNLP,sst2,50,2026,2,0.6551724137931034,0.8446136321418453,0.52,0.5862068965517242,0.06896551724137923,0.63,0.75,0.65,0.5652173913043479
QNLP,bach,50,2026,56,0.9655172413793104,0.6076965441275388,0.64,0.6086956521739131,0.3568215892053973,0.6,0.68,0.51,0.504950495049505
QNLP,sst2,500,2026,26,0.8571428571428571,0.634337073592469,0.62,0.6545454545454547,0.20259740259740244,0.57,0.66,0.52,0.5098039215686274
LSTM,bach,50,100,18,0.8846153846153847,0.3666546456515789,0.84,0.7894736842105263,0.09514170040485836,0.7,0.71,0.6,0.5454545454545454
LSTM,bach,50,42,51,0.896551724137931,0.46439769119024277,0.78,0.7843137254901961,0.11223799864773498,0.75,0.74,0.51,0.494949494949495
